listing,price,brand,size
"Pink bow floral mini backpack
          
      NWT",55.0,Pink,Mini
"NWT Loungefly Little Twin Stars Carnival Crossbody Bag
          
      NWT",45.0,NWT,
Michael Kors Jet Set East West Top Zip Tote beige cream Saffiano Leather,68.0,Michael,
Dooney & Bourke Crossbody Bag Black and Brown Leather Accents,72.0,Dooney,
Coach 2018 Small Kelsey bow Satchel w/matching wallet EUC,200.0,Coach,Small
"🆕 Splash-proof Life Preserver (shape) Coin Purse
          
      NWT",25.0,🆕,
EUC - Michael Kors Black and White Wristlet,50.0,EUC,
Perlina New York Leather Zip Around‎ Wallet Black,11.0,Perlina,
Light Green Convertible Crossbody / Shoulder Bag 💚,34.0,Light,
"MICHAEL KORS JET SET ITEM LG EW CROSSBODY LEATHER
          
      NWT",118.0,MICHAEL,
Jimmy Choo Dust Bag - 10”x 13.5”,19.0,Jimmy,
Peacock Feather Quilted Crossbody Bag Women Orange Teal Pink‎ Zipper Pouch EUC,16.0,Peacock,
Milloo Ariadne Fuchsia Boho Pink Leather Pouch Cosmetic Clutch Bag,30.0,Milloo,
Calvin Klein clutch used once,18.0,Calvin,
MICHAEL Michael Kors Women's Convertible Shoulder Bag Crossbody Purse Wristlet,95.0,MICHAEL,
Clinique Yellow and Orange Floral Cosmetic Pouch,14.0,Clinique,
"Vera Bradley Red, White and Blossoms Small Vera Tote Bag",45.0,Vera,Small
Gucci Red and Cream Tote with Structured Design,325.0,Gucci,
Brahmin Misha Toasted Rochelle Tote - Caramel Nubuck w/ Crock Embossed Leather,225.0,Brahmin,
Vintage Wilson’s Genuine Leather Tri-fold Women’s Tan Brown Wallet EUC,16.0,Vintage,
Vera Bradley Wristlet Small Purse in Tutti‎ Fruitti Excellent Condition.,19.0,Vera,Small
"Reaction cole reaction rose gold wallet
          
      NWT",38.0,Reaction,
Vintage Dooney & Bourke crossbody,120.0,Vintage,
Kate Spade Rose Gold Metallic Saffiano Leather Wallet Clutch Zip Around,53.0,Kate,
Dooney & Bourke Dillen Pink Leather Hobo Bag,65.0,Dooney,
Leather Briefcase in Cognac & Black Leather w/ Gold Hardware & Embossed Design,65.0,Leather,
CHANEL Beige Quilted Tote Bag,1699.0,CHANEL,
Prada  bag,405.0,Prada,
Vintage Floral Embroidered White Linen Clutch with Tiny Change Purse,19.0,Vintage,
❤️🎉HOST PICK 🎉❤️Authentic LV Sarah Long Wallet Portefeuille Monogram Vernis,555.0,❤️🎉HOST,
Simply Vera Wang Mini Envelope Crossbody Purse Gray Charcoal Crocodile Leather,23.0,Simply,Mini
Cole Haan Felicity Pebbled Leather Backpack Multi Pocket & Woven Zip Detail Blue,86.0,Cole,
Coach Poppy Glam Glazed Navy Blue Leather Tote Bag,145.0,Coach,
Michael Kors Brown Leather Backpack,85.0,Michael,
Like New Ipsy Fuzzy Furry Lavender Purple and Neon Green Cosmetics Pouch Bag,6.0,Like,
Coach Madison Logo Leather Purse *Read Description,50.0,Coach,
🇨🇦 Lululemon 2024 Team Canada Olympic Reusable Shopping Tote Bag Large,20.0,🇨🇦,Large
Hennessy Leather Toiletry Bag Wristlet Cognac Black Textured Unisex Travel Pouch,37.0,Hennessy,
Kate Spade pebble leather Kelly green gold accents Shoulder/crossbody bag EUC,76.0,Kate,
"AUTHENTIC KATE SPADE PICNIC PERFECT LEMON CROSSBODY BAG
          
      NWT",899.0,AUTHENTIC,
Elliott Lucca Black Leather Woven Shoulder With Bronze Hardware,40.0,Elliott,
